Data 1: Weekly U.S. Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),
Weekly U.S. Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon),Time
1.191,1
1.245,2
1.242,3
1.252,4
1.266,5
1.272,6
1.321,7
1.333,8
1.339,9
1.345,10
1.339,11
1.334,12
1.328,13
1.323,14
1.311,15
1.341,16
1.192,17
1.168,18
1.139,19
1.106,20
1.078,21
1.054,22
1.025,23
1.045,24
1.043,25
1.047,26
1.052,27
1.066,28
1.069,29
1.09,30
1.104,31
1.113,32
1.121,33
1.129,34
1.14,35
1.138,36
1.135,37
1.126,38
1.114,39
1.104,40
1.098,41
1.094,42
1.091,43
1.091,44
1.099,45
1.112,46
1.124,47
1.124,48
1.127,49
1.12,50
1.11,51
1.097,52
1.092,53
1.089,54
1.084,55
1.088,56
1.091,57
1.091,58
1.102,59
1.104,60
1.099,61
1.099,62
1.091,63
1.075,64
1.063,65
1.053,66
1.042,67
1.026,68
1.014,69
1.006,70
0.995,71
1.004,72
1.011,73
1.014,74
1.012,75
1.013,76
1.01,77
1.015,78
1.013,79
1.026,80
1.051,81
1.058,82
1.072,83
1.089,84
1.102,85
1.118,86
1.12,87
1.128,88
1.143,89
1.151,90
1.153,91
1.149,92
1.147,93
1.139,94
1.132,95
1.128,96
1.126,97
1.123,98
1.116,99
1.123,100
1.121,101
1.121,102
1.124,103
1.123,104
1.118,105
1.115,106
1.115,107
1.113,108
1.113,109
1.12,110
1.12,111
1.112,112
1.106,113
1.098,114
1.089,115
1.078,116
1.074,117
1.069,118
1.065,119
1.066,120
1.061,121
1.055,122
1.055,123
1.062,124
1.053,125
1.047,126
1.042,127
1.048,128
1.058,129
1.056,130
1.057,131
1.068,132
1.079,133
1.079,134
1.086,135
1.086,136
1.097,137
1.106,138
1.106,139
1.107,140
1.104,141
1.101,142
1.095,143
1.089,144
1.086,145
1.081,146
1.075,147
1.069,148
1.062,149
1.06,150
1.059,151
1.065,152
1.062,153
1.055,154
1.051,155
1.045,156
1.047,157
1.092,158
1.09,159
1.093,160
1.092,161
1.084,162
1.075,163
1.064,164
1.058,165
1.051,166
1.036,167
1.018,168
1.003,169
0.999,170
0.992,171
0.995,172
1.001,173
0.999,174
1.005,175
1.007,176
1.016,177
1.009,178
1.004,179
1.007,180
1.005,181
1.007,182
1.012,183
1.011,184
1.028,185
1.033,186
1.037,187
1.04,188
1.045,189
1.046,190
1.05,191
1.056,192
1.065,193
1.073,194
1.079,195
1.095,196
1.097,197
1.103,198
1.109,199
1.114,200
1.13,201
1.157,202
1.161,203
1.165,204
1.161,205
1.156,206
1.15,207
1.14,208
1.129,209
1.12,210
1.114,211
1.106,212
1.107,213
1.121,214
1.123,215
1.122,216
1.113,217
1.105,218
1.103,219
1.095,220
1.087,221
1.077,222
1.079,223
1.086,224
1.078,225
1.083,226
1.083,227
1.076,228
1.074,229
1.067,230
1.073,231
1.076,232
1.069,233
1.068,234
1.075,235
1.087,236
1.103,237
1.117,238
1.138,239
1.148,240
1.169,241
1.179,242
1.197,243
1.199,244
1.199,245
1.196,246
1.189,247
1.182,248
1.175,249
1.165,250
1.153,251
1.144,252
1.132,253
1.127,254
1.125,255
1.124,256
1.117,257
1.113,258
1.111,259
1.11,260
1.109,261
1.105,262
1.097,263
1.087,264
1.079,265
1.068,266
1.065,267
1.063,268
1.06,269
1.061,270
1.062,271
1.063,272
1.078,273
1.082,274
1.083,275
1.093,276
1.098,277
1.091,278
1.087,279
1.083,280
1.08,281
1.087,282
1.107,283
1.124,284
1.125,285
1.135,286
1.164,287
1.178,288
1.204,289
1.242,290
1.256,291
1.273,292
1.275,293
1.277,294
1.285,295
1.275,296
1.269,297
1.262,298
1.258,299
1.245,300
1.234,301
1.231,302
1.228,303
1.227,304
1.218,305
1.207,306
1.203,307
1.205,308
1.209,309
1.197,310
1.203,311
1.206,312
1.206,313
1.2,314
1.194,315
1.203,316
1.204,317
1.215,318
1.223,319
1.226,320
1.236,321
1.244,322
1.241,323
1.241,324
1.236,325
1.231,326
1.227,327
1.225,328
1.241,329
1.241,330
1.238,331
1.236,332
1.234,333
1.227,334
1.223,335
1.215,336
1.206,337
1.2,338
1.204,339
1.2,340
1.203,341
1.199,342
1.199,343
1.195,344
1.193,345
1.193,346
1.203,347
1.212,348
1.215,349
1.207,350
1.198,351
1.187,352
1.181,353
1.177,354
1.173,355
1.177,356
1.17,357
1.193,358
1.228,359
1.229,360
1.244,361
1.243,362
1.243,363
1.236,364
1.225,365
1.21,366
1.209,367
1.203,368
1.193,369
1.182,370
1.176,371
1.177,372
1.168,373
1.162,374
1.152,375
1.141,376
1.131,377
1.121,378
1.112,379
1.102,380
1.094,381
1.083,382
1.066,383
1.061,384
1.053,385
1.038,386
1.044,387
1.028,388
1.018,389
1.008,390
1,391
1.03,392
1.028,393
1.025,394
1.028,395
1.04,396
1.049,397
1.063,398
1.072,399
1.07,400
1.066,401
1.075,402
1.066,403
1.058,404
1.057,405
1.058,406
1.054,407
1.059,408
1.05,409
1.039,410
1.033,411
1.026,412
1.019,413
1.013,414
1.007,415
1.002,416
1.014,417
1.014,418
1.019,419
1.022,420
1.019,421
1.015,422
1.01,423
1.008,424
0.996,425
0.989,426
0.974,427
0.954,428
0.945,429
0.944,430
0.937,431
0.935,432
0.941,433
0.944,434
0.936,435
0.929,436
0.927,437
0.919,438
0.907,439
0.913,440
0.921,441
0.977,442
1.017,443
1.082,444
1.118,445
1.14,446
1.135,447
1.131,448
1.136,449
1.14,450
1.14,451
1.126,452
1.111,453
1.112,454
1.108,455
1.124,456
1.113,457
1.125,458
1.143,459
1.169,460
1.193,461
1.195,462
1.206,463
1.236,464
1.234,465
1.233,466
1.242,467
1.25,468
1.268,469
1.262,470
1.255,471
1.249,472
1.236,473
1.237,474
1.23,475
1.233,476
1.251,477
1.269,478
1.274,479
1.273,480
1.275,481
1.269,482
1.273,483
1.272,484
1.264,485
1.277,486
1.315,487
1.316,488
1.325,489
1.356,490
1.406,491
1.421,492
1.501,493
1.527,494
1.529,495
1.508,496
1.503,497
1.475,498
1.444,499
1.437,500
1.42,501
1.455,502
1.492,503
1.527,504
1.54,505
1.563,506
1.631,507
1.681,508
1.658,509
1.625,510
1.593,511
1.546,512
1.52,513
1.471,514
1.462,515
1.447,516
1.468,517
1.481,518
1.53,519
1.561,520
1.562,521
1.548,522
1.524,523
1.502,524
1.539,525
1.551,526
1.545,527
1.526,528
1.523,529
1.51,530
1.51,531
1.486,532
1.449,533
1.422,534
1.414,535
1.406,536
1.425,537
1.474,538
1.471,539
1.46,540
1.443,541
1.476,542
1.449,543
1.431,544
1.417,545
1.412,546
1.404,547
1.404,548
1.442,549
1.5,550
1.571,551
1.619,552
1.626,553
1.703,554
1.713,555
1.687,556
1.704,557
1.679,558
1.647,559
1.601,560
1.538,561
1.474,562
1.437,563
1.413,564
1.395,565
1.384,566
1.376,567
1.392,568
1.427,569
1.488,570
1.545,571
1.527,572
1.529,573
1.485,574
1.416,575
1.352,576
1.309,577
1.265,578
1.235,579
1.206,580
1.182,581
1.167,582
1.127,583
1.108,584
1.095,585
1.059,586
1.072,587
1.096,588
1.112,589
1.111,590
1.105,591
1.101,592
1.116,593
1.107,594
1.116,595
1.116,596
1.144,597
1.223,598
1.288,599
1.342,600
1.371,601
1.413,602
1.404,603
1.404,604
1.393,605
1.395,606
1.388,607
1.397,608
1.387,609
1.392,610
1.375,611
1.378,612
1.384,613
1.392,614
1.382,615
1.394,616
1.41,617
1.407,618
1.395,619
1.393,620
1.392,621
1.403,622
1.394,623
1.395,624
1.401,625
1.395,626
1.413,627
1.439,628
1.44,629
1.458,630
1.444,631
1.448,632
1.439,633
1.409,634
1.38,635
1.364,636
1.36,637
1.363,638
1.401,639
1.441,640
1.444,641
1.454,642
1.459,643
1.473,644
1.527,645
1.607,646
1.66,647
1.658,648
1.686,649
1.712,650
1.728,651
1.69,652
1.649,653
1.63,654
1.595,655
1.574,656
1.557,657
1.513,658
1.491,659
1.498,660
1.487,661
1.473,662
1.49,663
1.518,664
1.496,665
1.487,666
1.489,667
1.521,668
1.524,669
1.516,670
1.536,671
1.571,672
1.627,673
1.747,674
1.746,675
1.717,676
1.697,677
1.643,678
1.591,679
1.573,680
1.568,681
1.571,682
1.542,683
1.535,684
1.504,685
1.497,686
1.512,687
1.49,688
1.476,689
1.465,690
1.485,691
1.478,692
1.51,693
1.56,694
1.595,695
1.622,696
1.616,697
1.638,698
1.648,699
1.688,700
1.717,701
1.738,702
1.724,703
1.743,704
1.758,705
1.78,706
1.786,707
1.813,708
1.812,709
1.844,710
1.941,711
2.017,712
2.064,713
2.051,714
2.034,715
1.985,716
1.937,717
1.921,718
1.895,719
1.917,720
1.928,721
1.905,722
1.888,723
1.877,724
1.875,725
1.884,726
1.866,727
1.85,728
1.846,729
1.866,730
1.917,731
1.938,732
1.993,733
2.035,734
2.032,735
2.034,736
2.001,737
1.969,738
1.948,739
1.945,740
1.911,741
1.847,742
1.815,743
1.791,744
1.778,745
1.793,746
1.819,747
1.853,748
1.911,749
1.909,750
1.898,751
1.905,752
1.928,753
1.999,754
2.056,755
2.109,756
2.153,757
2.217,758
2.28,759
2.237,760
2.236,761
2.235,762
2.186,763
2.163,764
2.125,765
2.097,766
2.116,767
2.13,768
2.161,769
2.215,770
2.226,771
2.328,772
2.317,773
2.289,774
2.291,775
2.368,776
2.55,777
2.612,778
2.61,779
3.069,780
2.955,781
2.786,782
2.803,783
2.928,784
2.848,785
2.725,786
2.603,787
2.48,788
2.376,789
2.296,790
2.201,791
2.154,792
2.147,793
2.185,794
2.211,795
2.197,796
2.238,797
2.327,798
2.32,799
2.336,800
2.357,801
2.342,802
2.284,803
2.24,804
2.254,805
2.331,806
2.366,807
2.504,808
2.498,809
2.588,810
2.683,811
2.783,812
2.914,813
2.919,814
2.909,815
2.947,816
2.892,817
2.867,818
2.892,819
2.906,820
2.871,821
2.869,822
2.934,823
2.973,824
2.989,825
3.003,826
3.004,827
3.038,828
3,829
2.924,830
2.845,831
2.727,832
2.618,833
2.497,834
2.378,835
2.31,836
2.261,837
2.226,838
2.208,839
2.218,840
2.2,841
2.232,842
2.239,843
2.246,844
2.297,845
2.293,846
2.32,847
2.341,848
2.334,849
2.306,850
2.229,851
2.165,852
2.165,853
2.191,854
2.241,855
2.296,856
2.383,857
2.505,858
2.559,859
2.577,860
2.61,861
2.707,862
2.802,863
2.876,864
2.869,865
2.971,866
3.054,867
3.103,868
3.218,869
3.209,870
3.157,871
3.076,872
3.009,873
2.982,874
2.959,875
2.981,876
3.049,877
2.958,878
2.876,879
2.838,880
2.771,881
2.785,882
2.749,883
2.796,884
2.818,885
2.787,886
2.812,887
2.788,888
2.77,889
2.762,890
2.823,891
2.872,892
3.013,893
3.111,894
3.099,895
3.097,896
3.061,897
3,898
2.998,899
2.98,900
3.053,901
3.109,902
3.068,903
3.017,904
2.977,905
2.978,906
2.96,907
3.042,908
3.13,909
3.162,910
3.225,911
3.284,912
3.259,913
3.29,914
3.332,915
3.389,916
3.508,917
3.603,918
3.613,919
3.722,920
3.791,921
3.937,922
3.976,923
4.039,924
4.082,925
4.079,926
4.095,927
4.114,928
4.113,929
4.064,930
3.955,931
3.88,932
3.809,933
3.74,934
3.685,935
3.68,936
3.648,937
3.835,938
3.718,939
3.632,940
3.484,941
3.151,942
2.914,943
2.656,944
2.4,945
2.224,946
2.072,947
1.892,948
1.811,949
1.699,950
1.659,951
1.653,952
1.613,953
1.684,954
1.784,955
1.847,956
1.838,957
1.892,958
1.926,959
1.964,960
1.909,961
1.934,962
1.941,963
1.91,964
1.962,965
2.046,966
2.037,967
2.051,968
2.059,969
2.049,970
2.078,971
2.24,972
2.309,973
2.435,974
2.524,975
2.624,976
2.672,977
2.691,978
2.642,979
2.612,980
2.528,981
2.463,982
2.503,983
2.557,984
2.647,985
2.637,986
2.628,987
2.613,988
2.588,989
2.577,990
2.552,991
2.499,992
2.468,993
2.489,994
2.574,995
2.674,996
2.694,997
2.666,998
2.629,999
2.639,1000
2.629,1001
2.634,1002
2.599,1003
2.589,1004
2.607,1005
2.665,1006
2.751,1007
2.739,1008
2.705,1009
2.661,1010
2.652,1011
2.608,1012
2.655,1013
2.702,1014
2.751,1015
2.788,1016
2.819,1017
2.798,1018
2.826,1019
2.858,1020
2.86,1021
2.849,1022
2.898,1023
2.905,1024
2.864,1025
2.786,1026
2.728,1027
2.725,1028
2.701,1029
2.743,1030
2.757,1031
2.726,1032
2.718,1033
2.722,1034
2.749,1035
2.735,1036
2.783,1037
2.745,1038
2.704,1039
2.682,1040
2.682,1041
2.721,1042
2.723,1043
2.694,1044
2.732,1045
2.819,1046
2.834,1047
2.817,1048
2.806,1049
2.865,1050
2.892,1051
2.876,1052
2.856,1053
2.958,1054
2.98,1055
2.982,1056
3.052,1057
3.07,1058
3.089,1059
3.104,1060
3.11,1061
3.101,1062
3.132,1063
3.14,1064
3.189,1065
3.383,1066
3.52,1067
3.567,1068
3.562,1069
3.596,1070
3.684,1071
3.791,1072
3.844,1073
3.879,1074
3.963,1075
3.965,1076
3.96,1077
3.849,1078
3.794,1079
3.781,1080
3.713,1081
3.652,1082
3.574,1083
3.579,1084
3.641,1085
